Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
wminkowski,1,40,15,0.6007905138339921
wminkowski,1,40,16,0.47035573122529645
wminkowski,1,40,17,0.5217391304347826
wminkowski,1,40,18,0.5533596837944664
wminkowski,1,40,19,0.6245059288537549
wminkowski,1,40,20,0.541501976284585
wminkowski,1,45,1,0.6403162055335968
wminkowski,1,45,2,0.6403162055335968
wminkowski,1,45,3,0.5177865612648221
wminkowski,1,45,4,0.5810276679841897
wminkowski,1,45,5,0.4624505928853755
wminkowski,1,45,6,0.525691699604743
wminkowski,1,45,7,0.5731225296442688
wminkowski,1,45,8,0.6126482213438735
wminkowski,1,45,9,0.5335968379446641
wminkowski,1,45,10,0.48221343873517786
wminkowski,1,45,11,0.6205533596837944
wminkowski,1,45,12,0.5968379446640316
wminkowski,1,45,13,0.5810276679841897
wminkowski,1,45,14,0.5928853754940712
wminkowski,1,45,15,0.5335968379446641
wminkowski,1,45,16,0.5770750988142292
wminkowski,1,45,17,0.5968379446640316
wminkowski,1,45,18,0.6324110671936759
wminkowski,1,45,19,0.541501976284585
wminkowski,1,45,20,0.6284584980237155
wminkowski,1,50,1,0.6837944664031621
wminkowski,1,50,2,0.6324110671936759
wminkowski,1,50,3,0.4308300395256917
wminkowski,1,50,4,0.5968379446640316
wminkowski,1,50,5,0.6719367588932806
wminkowski,1,50,6,0.5573122529644269
wminkowski,1,50,7,0.6363636363636364
wminkowski,1,50,8,0.5849802371541502
wminkowski,1,50,9,0.5612648221343873
wminkowski,1,50,10,0.5849802371541502
wminkowski,1,50,11,0.5573122529644269
wminkowski,1,50,12,0.49407114624505927
wminkowski,1,50,13,0.5019762845849802
wminkowski,1,50,14,0.6205533596837944
wminkowski,1,50,15,0.4782608695652174
wminkowski,1,50,16,0.5810276679841897
wminkowski,1,50,17,0.6007905138339921
wminkowski,1,50,18,0.6324110671936759
wminkowski,1,50,19,0.5731225296442688
wminkowski,1,50,20,0.6284584980237155
wminkowski,1,55,1,0.541501976284585
wminkowski,1,55,2,0.49407114624505927
wminkowski,1,55,3,0.6047430830039525
wminkowski,1,55,4,0.5059288537549407
wminkowski,1,55,5,0.6482213438735178
wminkowski,1,55,6,0.6047430830039525
wminkowski,1,55,7,0.616600790513834
wminkowski,1,55,8,0.6324110671936759
wminkowski,1,55,9,0.5652173913043478
wminkowski,1,55,10,0.541501976284585
wminkowski,1,55,11,0.616600790513834
wminkowski,1,55,12,0.6284584980237155
wminkowski,1,55,13,0.6245059288537549
wminkowski,1,55,14,0.5691699604743083
wminkowski,1,55,15,0.5731225296442688
wminkowski,1,55,16,0.6086956521739131
wminkowski,1,55,17,0.6007905138339921
wminkowski,1,55,18,0.6245059288537549
wminkowski,1,55,19,0.616600790513834
wminkowski,1,55,20,0.6956521739130435
wminkowski,1,60,1,0.541501976284585
wminkowski,1,60,2,0.5652173913043478
wminkowski,1,60,3,0.5652173913043478
wminkowski,1,60,4,0.5770750988142292
wminkowski,1,60,5,0.5968379446640316
wminkowski,1,60,6,0.5573122529644269
wminkowski,1,60,7,0.6086956521739131
wminkowski,1,60,8,0.6482213438735178
wminkowski,1,60,9,0.5573122529644269
wminkowski,1,60,10,0.5889328063241107
wminkowski,1,60,11,0.5770750988142292
wminkowski,1,60,12,0.5296442687747036
wminkowski,1,60,13,0.6007905138339921
wminkowski,1,60,14,0.5770750988142292
wminkowski,1,60,15,0.6047430830039525
wminkowski,1,60,16,0.5296442687747036
wminkowski,1,60,17,0.5691699604743083
wminkowski,1,60,18,0.541501976284585
wminkowski,1,60,19,0.5928853754940712
wminkowski,1,60,20,0.6245059288537549
wminkowski,1,65,1,0.6442687747035574
wminkowski,1,65,2,0.5928853754940712
wminkowski,1,65,3,0.5612648221343873
wminkowski,1,65,4,0.5612648221343873
wminkowski,1,65,5,0.6442687747035574
wminkowski,1,65,6,0.5928853754940712
wminkowski,1,65,7,0.5612648221343873
wminkowski,1,65,8,0.6205533596837944
wminkowski,1,65,9,0.6086956521739131
wminkowski,1,65,10,0.4782608695652174
wminkowski,1,65,11,0.5612648221343873
wminkowski,1,65,12,0.5138339920948617
wminkowski,1,65,13,0.6403162055335968
wminkowski,1,65,14,0.5612648221343873
wminkowski,1,65,15,0.5296442687747036
wminkowski,1,65,16,0.5217391304347826
wminkowski,1,65,17,0.45849802371541504
wminkowski,1,65,18,0.6363636363636364
wminkowski,1,65,19,0.6086956521739131
wminkowski,1,65,20,0.6403162055335968
wminkowski,1,70,1,0.5533596837944664
wminkowski,1,70,2,0.6086956521739131
wminkowski,1,70,3,0.5059288537549407
wminkowski,1,70,4,0.4743083003952569
wminkowski,1,70,5,0.6324110671936759
wminkowski,1,70,6,0.6363636363636364
wminkowski,1,70,7,0.5889328063241107
wminkowski,1,70,8,0.5889328063241107
wminkowski,1,70,9,0.6086956521739131
wminkowski,1,70,10,0.6245059288537549
wminkowski,1,70,11,0.5375494071146245
wminkowski,1,70,12,0.6442687747035574
wminkowski,1,70,13,0.6403162055335968
wminkowski,1,70,14,0.6482213438735178
wminkowski,1,70,15,0.5810276679841897
wminkowski,1,70,16,0.6047430830039525
wminkowski,1,70,17,0.5652173913043478
wminkowski,1,70,18,0.6640316205533597
wminkowski,1,70,19,0.5691699604743083
wminkowski,1,70,20,0.5968379446640316
wminkowski,1,75,1,0.6126482213438735
wminkowski,1,75,2,0.6284584980237155
wminkowski,1,75,3,0.6442687747035574
wminkowski,1,75,4,0.5810276679841897
wminkowski,1,75,5,0.5573122529644269
wminkowski,1,75,6,0.525691699604743
wminkowski,1,75,7,0.5533596837944664
wminkowski,1,75,8,0.549407114624506
wminkowski,1,75,9,0.541501976284585
wminkowski,1,75,10,0.47035573122529645
wminkowski,1,75,11,0.6600790513833992
wminkowski,1,75,12,0.5928853754940712
wminkowski,1,75,13,0.6600790513833992
wminkowski,1,75,14,0.6205533596837944
wminkowski,1,75,15,0.5335968379446641
wminkowski,1,75,16,0.49407114624505927
wminkowski,1,75,17,0.6126482213438735
wminkowski,1,75,18,0.6126482213438735
wminkowski,1,75,19,0.5454545454545454
wminkowski,1,75,20,0.6482213438735178
wminkowski,2,0,2,0.6442687747035574
wminkowski,2,0,3,0.6245059288537549
wminkowski,2,0,4,0.5652173913043478
wminkowski,2,0,5,0.6007905138339921
wminkowski,2,0,6,0.6324110671936759
wminkowski,2,0,7,0.6363636363636364
wminkowski,2,0,8,0.6047430830039525
wminkowski,2,0,9,0.6086956521739131
wminkowski,2,0,10,0.5612648221343873
wminkowski,2,0,11,0.6363636363636364
wminkowski,2,0,12,0.5810276679841897
wminkowski,2,0,13,0.6324110671936759
wminkowski,2,0,14,0.6482213438735178
wminkowski,2,0,15,0.6007905138339921
wminkowski,2,0,16,0.5849802371541502
wminkowski,2,0,17,0.6284584980237155
wminkowski,2,0,18,0.6126482213438735
