Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
minkowski,3,70,1,0.76
minkowski,3,70,2,0.67
minkowski,3,70,3,0.69
minkowski,3,70,5,0.72
minkowski,3,70,10,0.74
minkowski,3,70,15,0.71
minkowski,3,70,20,0.67
minkowski,3,75,1,0.76
minkowski,3,75,2,0.69
minkowski,3,75,3,0.7
minkowski,3,75,5,0.72
minkowski,3,75,10,0.74
minkowski,3,75,15,0.7
minkowski,3,75,20,0.67
minkowski,4,0,1,0.77
minkowski,4,0,2,0.69
minkowski,4,0,3,0.68
minkowski,4,0,5,0.72
minkowski,4,0,10,0.76
minkowski,4,0,15,0.72
minkowski,4,0,20,0.69
minkowski,4,3,1,0.53
minkowski,4,3,2,0.46
minkowski,4,3,3,0.53
minkowski,4,3,5,0.51
minkowski,4,3,10,0.47
minkowski,4,3,15,0.5
minkowski,4,3,20,0.48
minkowski,4,4,1,0.58
minkowski,4,4,2,0.46
minkowski,4,4,3,0.53
minkowski,4,4,5,0.54
minkowski,4,4,10,0.57
minkowski,4,4,15,0.5
minkowski,4,4,20,0.54
minkowski,4,5,1,0.59
minkowski,4,5,2,0.52
minkowski,4,5,3,0.57
minkowski,4,5,5,0.57
minkowski,4,5,10,0.53
minkowski,4,5,15,0.55
minkowski,4,5,20,0.52
minkowski,4,6,1,0.61
minkowski,4,6,2,0.52
minkowski,4,6,3,0.53
minkowski,4,6,5,0.55
minkowski,4,6,10,0.54
minkowski,4,6,15,0.59
minkowski,4,6,20,0.51
minkowski,4,7,1,0.71
minkowski,4,7,2,0.6
minkowski,4,7,3,0.59
minkowski,4,7,5,0.61
minkowski,4,7,10,0.63
minkowski,4,7,15,0.62
minkowski,4,7,20,0.58
minkowski,4,8,1,0.72
minkowski,4,8,2,0.64
minkowski,4,8,3,0.63
minkowski,4,8,5,0.66
minkowski,4,8,10,0.58
minkowski,4,8,15,0.62
minkowski,4,8,20,0.65
minkowski,4,9,1,0.71
minkowski,4,9,2,0.68
minkowski,4,9,3,0.64
minkowski,4,9,5,0.68
minkowski,4,9,10,0.62
minkowski,4,9,15,0.58
minkowski,4,9,20,0.6
minkowski,4,10,1,0.7
minkowski,4,10,2,0.67
minkowski,4,10,3,0.65
minkowski,4,10,5,0.67
minkowski,4,10,10,0.62
minkowski,4,10,15,0.61
minkowski,4,10,20,0.63
minkowski,4,13,1,0.74
minkowski,4,13,2,0.69
minkowski,4,13,3,0.69
minkowski,4,13,5,0.7
minkowski,4,13,10,0.63
minkowski,4,13,15,0.65
minkowski,4,13,20,0.64
minkowski,4,15,1,0.75
minkowski,4,15,2,0.7
minkowski,4,15,3,0.68
minkowski,4,15,5,0.68
minkowski,4,15,10,0.63
